layer,ztz,ftf,norm_z,norm_f,norm_z_hat,l_recon,text
14,40660.656,19736.852,201.64488,140.4879,188.96786,5121.6553,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
15,40745.586,21841.656,201.85536,147.78923,192.84035,5566.724,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
16,52086.953,27165.744,228.22566,164.82034,216.96544,6053.2065,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
17,66187.94,36210.65,257.27017,190.29095,239.82918,8427.1875,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
18,69225.76,38319.1,263.10788,195.75266,245.60313,9141.956,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
19,76994.36,49407.64,277.47858,222.27829,258.20486,11566.258,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
20,105367.19,61420.938,324.60312,247.83247,299.48553,14921.837,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
21,143373.38,80341.7,378.64676,283.4461,346.09802,20140.076,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
22,189000.1,110233.92,434.74142,332.01495,402.78214,27979.836,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
23,248947.19,143588.16,498.94608,378.93027,464.20407,35790.273,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
24,300330.28,172727.28,548.024,415.6047,499.3558,58654.062,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
25,351941.28,201777.31,593.2464,449.1963,522.90515,79197.21,"he President’s Disaggregated Data, there were 12,623 Filipino students in the UC"
1,6251.085,6324.6577,79.063805,79.52772,72.81821,1107.418,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
2,7402.86,7796.0923,86.03987,88.29549,80.80702,1192.29,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
3,9707.202,16920.35,98.52513,130.07825,94.94553,1035.8933,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
4,12229.643,6779.5884,110.587715,82.33826,105.76917,1953.077,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
5,13797.682,17214.262,117.46353,131.20312,113.68748,1215.2463,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
6,12349.58,7523.941,111.12866,86.740654,106.80841,1863.0164,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
7,13983.786,8482.827,118.25306,92.102264,111.495636,1954.5155,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
8,17785.129,9687.088,133.3609,98.423004,125.30442,2187.9631,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
9,21175.582,10916.234,145.51833,104.48078,137.12666,2762.9321,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
10,26645.71,12619.414,163.23514,112.33617,156.96643,3633.231,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
11,28384.637,13325.861,168.4774,115.4377,156.98724,4005.9043,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
12,40585.547,17948.842,201.45854,133.97328,186.45619,4921.6133,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
13,32788.383,15825.525,181.07562,125.799545,166.72931,4905.8916,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
14,42982.684,19870.48,207.32266,140.96269,185.3028,6353.823,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
15,41280.508,22932.725,203.17606,151.43555,186.53857,6261.8145,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
16,60340.12,30014.193,245.64226,173.24605,231.34993,6871.5215,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
17,66013.42,37348.594,256.9308,193.25784,244.72942,8412.152,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
18,59822.06,36395.66,244.58548,190.77647,225.12488,8796.041,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
19,72130.05,48356.062,268.57037,219.90012,243.46274,10262.979,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
20,72454.13,55033.26,269.17307,234.59169,245.09673,11177.74,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
21,95194.53,67401.55,308.5361,259.61807,281.79224,14019.164,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
22,115135.12,90531.375,339.31567,300.8843,304.99475,18688.84,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
23,152212.06,117437.48,390.14365,342.69153,366.056,19642.205,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
24,192011.6,146333.53,438.19128,382.53568,410.30054,25554.555,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
25,240790.44,216188.53,490.704,464.9608,449.32217,33992.227,"ints, but it’s in no real position to negotiate essential changes with Pyongyang"
1,7155.563,5079.1675,84.59056,71.26828,66.58763,1913.0199," in the effort of writing a letter, how much I value you, and of the superlative"
2,8634.166,6387.104,92.92021,79.91936,75.34313,2165.698," in the effort of writing a letter, how much I value you, and of the superlative"
3,10243.584,8116.663,101.210594,90.09252,90.580795,1676.0479," in the effort of writing a letter, how much I value you, and of the superlative"
4,11596.588,4701.526,107.687454,68.56767,92.639565,2924.8853," in the effort of writing a letter, how much I value you, and of the superlative"
5,10791.816,6423.544,103.88367,80.14701,93.27415,1927.5098," in the effort of writing a letter, how much I value you, and of the superlative"
6,10142.39,5279.433,100.709435,72.659706,89.11246,2655.3213," in the effort of writing a letter, how much I value you, and of the superlative"
7,11679.707,5443.872,108.07269,73.7826,97.99651,2520.2695," in the effort of writing a letter, how much I value you, and of the superlative"
8,13752.866,6631.9443,117.27261,81.43675,105.63182,2854.0176," in the effort of writing a letter, how much I value you, and of the superlative"
9,14085.41,7280.088,118.68197,85.32343,109.411865,2907.999," in the effort of writing a letter, how much I value you, and of the superlative"
10,17416.5,8705.797,131.97159,93.30486,121.2208,3575.4507," in the effort of writing a letter, how much I value you, and of the superlative"
11,16545.16,10215.313,128.62799,101.07083,119.72576,3743.362," in the effort of writing a letter, how much I value you, and of the superlative"
12,17662.836,12048.37,132.9016,109.76507,114.52446,4272.927," in the effort of writing a letter, how much I value you, and of the superlative"
13,19796.426,12091.431,140.69977,109.961044,121.97752,4611.1885," in the effort of writing a letter, how much I value you, and of the superlative"
14,26323.234,16295.958,162.24437,127.655624,142.07707,5195.968," in the effort of writing a letter, how much I value you, and of the superlative"
15,29865.326,19375.012,172.81587,139.19415,153.52077,5699.241," in the effort of writing a letter, how much I value you, and of the superlative"
16,38288.02,24816.582,195.67325,157.53279,184.25577,5916.4727," in the effort of writing a letter, how much I value you, and of the superlative"
17,52146.73,33935.01,228.35658,184.21458,212.2145,8589.189," in the effort of writing a letter, how much I value you, and of the superlative"
18,61546.46,33143.95,248.08559,182.0548,214.65247,9965.28," in the effort of writing a letter, how much I value you, and of the superlative"
19,70594.11,41143.18,265.69553,202.83781,242.36215,9296.742," in the effort of writing a letter, how much I value you, and of the superlative"
20,90555.04,56253.914,300.92365,237.17908,279.99002,11223.367," in the effort of writing a letter, how much I value you, and of the superlative"
21,122843.46,73620.03,350.49033,271.3301,327.12662,16544.797," in the effort of writing a letter, how much I value you, and of the superlative"
22,167280.88,99985.13,408.99985,316.20425,398.60605,22661.74," in the effort of writing a letter, how much I value you, and of the superlative"
23,237571.47,135381.36,487.41302,367.94205,463.89795,31311.615," in the effort of writing a letter, how much I value you, and of the superlative"
24,306825.97,167824.12,553.91876,409.66342,515.2131,46624.883," in the effort of writing a letter, how much I value you, and of the superlative"
25,412775.34,241834.42,642.47595,491.76663,598.4347,65071.414," in the effort of writing a letter, how much I value you, and of the superlative"
1,7795.4575,12408.243,88.291885,111.392296,82.62632,919.5643,nces of human action…. What thymology achieves is the elaboration of a catalogue
2,10806.6455,10326.755,103.95502,101.62064,97.89744,1427.1616,nces of human action…. What thymology achieves is the elaboration of a catalogue
3,13116.639,9399.59,114.52789,96.951485,111.15388,1236.5273,nces of human action…. What thymology achieves is the elaboration of a catalogue
4,11987.1,6358.7524,109.48561,79.74178,103.65746,1638.8767,nces of human action…. What thymology achieves is the elaboration of a catalogue
5,11678.506,8301.115,108.06714,91.11046,103.605934,1266.8516,nces of human action…. What thymology achieves is the elaboration of a catalogue
6,12396.975,5873.7793,111.341705,76.64059,102.508316,2023.3641,nces of human action…. What thymology achieves is the elaboration of a catalogue
7,12529.307,5892.8643,111.93439,76.76499,104.97003,2043.8171,nces of human action…. What thymology achieves is the elaboration of a catalogue
8,16301.541,7375.677,127.67749,85.88176,122.31076,2140.8281,nces of human action…. What thymology achieves is the elaboration of a catalogue
9,16808.305,7524.3745,129.64685,86.74315,120.88528,2494.3828,nces of human action…. What thymology achieves is the elaboration of a catalogue
10,21239.715,8739.287,145.73851,93.48415,130.91252,3228.6958,nces of human action…. What thymology achieves is the elaboration of a catalogue
11,24374.18,10901.146,156.12233,104.408554,147.87318,3472.9531,nces of human action…. What thymology achieves is the elaboration of a catalogue
12,36085.35,15100.018,189.96144,122.882126,176.5512,4677.7285,nces of human action…. What thymology achieves is the elaboration of a catalogue
13,35849.234,15509.398,189.33894,124.536736,174.23547,4928.3696,nces of human action…. What thymology achieves is the elaboration of a catalogue
14,42864.34,18951.506,207.03705,137.66447,189.59167,6022.8984,nces of human action…. What thymology achieves is the elaboration of a catalogue
15,45956.133,21781.916,214.37381,147.58698,200.26141,6020.657,nces of human action…. What thymology achieves is the elaboration of a catalogue
16,63097.797,29336.69,251.19275,171.27957,232.78821,6862.5317,nces of human action…. What thymology achieves is the elaboration of a catalogue
17,76131.195,37241.586,275.91882,192.98079,257.98657,9454.633,nces of human action…. What thymology achieves is the elaboration of a catalogue
18,78921.02,39960.406,280.92886,199.90099,266.52463,8998.308,nces of human action…. What thymology achieves is the elaboration of a catalogue
19,105165.555,52492.957,324.2924,229.11342,306.369,11207.68,nces of human action…. What thymology achieves is the elaboration of a catalogue
20,112178.56,56929.39,334.9307,238.5988,314.54684,13482.689,nces of human action…. What thymology achieves is the elaboration of a catalogue
21,137907.56,72710.33,371.35907,269.64853,352.78,16612.238,nces of human action…. What thymology achieves is the elaboration of a catalogue
22,223848.81,111677.38,473.12665,334.18167,454.03864,19899.844,nces of human action…. What thymology achieves is the elaboration of a catalogue
23,236037.03,126222.555,485.83643,355.27814,459.49133,26131.984,nces of human action…. What thymology achieves is the elaboration of a catalogue
24,260376.05,148729.84,510.27057,385.6551,484.18912,31623.158,nces of human action…. What thymology achieves is the elaboration of a catalogue
25,296344.75,189741.67,544.37555,435.59348,506.56863,41496.305,nces of human action…. What thymology achieves is the elaboration of a catalogue
1,6242.3613,6294.8306,79.00861,79.339966,68.814705,1009.1824,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
2,7000.006,7112.2554,83.66604,84.33419,74.84099,1220.8304,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
3,8202.692,13610.291,90.56872,116.663155,84.77516,1027.9526,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
4,10261.488,5941.841,101.299,77.083336,81.58735,3740.8357,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
5,10419.053,13345.43,102.07376,115.52242,92.59398,1841.0176,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
6,10758.041,6989.252,103.72098,83.601746,89.41517,2610.2158,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
7,10579.276,8187.8193,102.855606,90.48657,93.445915,2137.7832,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
8,11577.218,8205.015,107.59748,90.581535,97.67081,2315.4053,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
9,11332.531,9093.083,106.45436,95.35766,96.1035,2256.1597,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
10,12687.252,9658.475,112.6377,98.27754,99.40876,2594.564,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
11,13390.453,11320.01,115.717125,106.39554,99.90881,2935.0815,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
12,14844.282,11797.436,121.83711,108.616,109.37948,3176.9688,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
13,13974.58,14061.879,118.21413,118.582794,104.1255,2900.8674,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
14,17369.27,17577.152,131.79253,132.57886,116.73241,3720.253,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
15,19284.158,20042.852,138.86742,141.57278,125.5122,3615.7703,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
16,23004.336,25438.8,151.6718,159.49545,137.63435,3714.4033,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
17,31051.145,37401.812,176.21335,193.39548,162.64227,4441.161,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
18,51418.71,39208.363,226.75694,198.01102,216.15422,5746.5625,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
19,50933.28,55871.023,225.68404,236.37051,199.46626,10091.122,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
20,65697.85,61602.234,256.31592,248.19797,227.88121,14656.989,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
21,86631.91,76423.305,294.33298,276.44766,245.65877,24953.201,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
22,113095.06,92008.25,336.29608,303.3286,274.27988,37907.52,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
23,160581.25,108899.82,400.7259,329.99973,319.0544,56232.477,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
24,183035.92,150765.2,427.82697,388.28494,339.7445,70385.05,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
25,287694.25,249431.45,536.3714,499.43112,423.39438,94946.94,"We climbed a switchback trail to the caves, where, in the 13th century, the Mogo"
1,7320.8496,15464.063,85.561966,124.35459,84.06786,352.9422," classes, kids learn web protocols, how to conduct and counter a phishing attack"
2,9883.62,9357.772,99.4164,96.73558,94.84571,759.3166," classes, kids learn web protocols, how to conduct and counter a phishing attack"
3,11219.661,7253.3916,105.922905,85.16685,101.26836,831.3229," classes, kids learn web protocols, how to conduct and counter a phishing attack"
4,12529.285,7177.0063,111.93429,84.71722,107.33392,1114.5892," classes, kids learn web protocols, how to conduct and counter a phishing attack"
5,10250.919,5677.8804,101.24682,75.35171,96.93319,745.95825," classes, kids learn web protocols, how to conduct and counter a phishing attack"
6,11997.054,6133.6035,109.53106,78.31733,103.897354,1183.6647," classes, kids learn web protocols, how to conduct and counter a phishing attack"
7,11648.646,5859.8735,107.928894,76.54981,104.107574,1103.9568," classes, kids learn web protocols, how to conduct and counter a phishing attack"
8,17249.896,8811.522,131.33887,93.86971,124.19845,1555.5944," classes, kids learn web protocols, how to conduct and counter a phishing attack"
9,16342.763,8153.795,127.83881,90.29836,120.90606,1530.6995," classes, kids learn web protocols, how to conduct and counter a phishing attack"
10,20585.924,10368.873,143.47795,101.82767,135.1572,2120.162," classes, kids learn web protocols, how to conduct and counter a phishing attack"
11,24182.281,12220.316,155.50653,110.54554,144.32906,2675.864," classes, kids learn web protocols, how to conduct and counter a phishing attack"
12,31730.863,15126.084,178.13159,122.988144,164.65855,3785.4795," classes, kids learn web protocols, how to conduct and counter a phishing attack"
13,32912.35,16197.734,181.41762,127.27032,165.86359,4107.3706," classes, kids learn web protocols, how to conduct and counter a phishing attack"
14,45363.21,22652.549,212.9864,150.50764,201.88838,5024.3604," classes, kids learn web protocols, how to conduct and counter a phishing attack"
15,52446.08,26161.1,229.0111,161.74393,217.32724,5499.3477," classes, kids learn web protocols, how to conduct and counter a phishing attack"
16,61505.85,31814.488,248.00374,178.36617,236.50354,6243.1743," classes, kids learn web protocols, how to conduct and counter a phishing attack"
17,72839.125,38883.72,269.88724,197.18954,256.84503,7434.5957," classes, kids learn web protocols, how to conduct and counter a phishing attack"
18,78529.266,41687.934,280.23074,204.17624,266.887,7834.9585," classes, kids learn web protocols, how to conduct and counter a phishing attack"
19,91985.516,51647.45,303.29114,227.26076,289.72052,9657.597," classes, kids learn web protocols, how to conduct and counter a phishing attack"
20,97855.05,55225.734,312.8179,235.00156,298.7844,10767.628," classes, kids learn web protocols, how to conduct and counter a phishing attack"
21,125947.42,73571.9,354.89072,271.2414,341.11707,11746.084," classes, kids learn web protocols, how to conduct and counter a phishing attack"
22,167724.25,101138.92,409.5415,318.02347,389.9816,14518.617," classes, kids learn web protocols, how to conduct and counter a phishing attack"
23,202616.19,128353.336,450.1291,358.26434,433.83777,16776.105," classes, kids learn web protocols, how to conduct and counter a phishing attack"
24,237026.27,155013.94,486.85342,393.7181,470.44852,21199.074," classes, kids learn web protocols, how to conduct and counter a phishing attack"
25,265703.34,216778.5,515.4642,465.5948,487.69034,28190.455," classes, kids learn web protocols, how to conduct and counter a phishing attack"
1,6780.785,9419.652,82.34552,97.05489,81.829956,74.31581,"e have been many crashes on Central Park West, many crashes with injuries,” said"
2,7302.28,7122.4995,85.45338,84.394905,84.14424,308.6808,"e have been many crashes on Central Park West, many crashes with injuries,” said"
3,6055.5825,4634.865,77.81763,68.07984,76.78749,258.967,"e have been many crashes on Central Park West, many crashes with injuries,” said"
4,7712.6562,6166.106,87.82173,78.52456,85.87794,292.18585,"e have been many crashes on Central Park West, many crashes with injuries,” said"
5,6201.513,5192.6562,78.74969,72.06009,76.5456,298.43323,"e have been many crashes on Central Park West, many crashes with injuries,” said"
6,6042.4893,6176.4263,77.73345,78.59024,75.25979,422.54132,"e have been many crashes on Central Park West, many crashes with injuries,” said"
7,9355.317,6705.0244,96.72289,81.88422,94.9209,458.0647,"e have been many crashes on Central Park West, many crashes with injuries,” said"
8,10085.392,7141.7666,100.42605,84.50897,96.94573,672.5394,"e have been many crashes on Central Park West, many crashes with injuries,” said"
9,10474.2,7134.972,102.34354,84.468765,97.234,841.2743,"e have been many crashes on Central Park West, many crashes with injuries,” said"
10,13242.896,8541.12,115.07778,92.41818,108.71768,1200.021,"e have been many crashes on Central Park West, many crashes with injuries,” said"
11,14517.657,9840.945,120.48924,99.20154,114.109634,1330.3523,"e have been many crashes on Central Park West, many crashes with injuries,” said"
12,16782.879,11306.049,129.54875,106.3299,119.15714,2071.2808,"e have been many crashes on Central Park West, many crashes with injuries,” said"
13,17700.781,12705.232,133.04428,112.71749,125.13329,2166.3962,"e have been many crashes on Central Park West, many crashes with injuries,” said"
14,27228.752,17357.527,165.01137,131.74797,155.00786,3041.1753,"e have been many crashes on Central Park West, many crashes with injuries,” said"
15,30715.436,20946.457,175.2582,144.72891,168.59804,3115.5425,"e have been many crashes on Central Park West, many crashes with injuries,” said"
16,31164.752,22712.434,176.53542,150.70645,163.37477,3335.5024,"e have been many crashes on Central Park West, many crashes with injuries,” said"
17,45052.375,32922.93,212.25545,181.44676,202.48112,5243.0957,"e have been many crashes on Central Park West, many crashes with injuries,” said"
18,48111.16,32823.652,219.34256,181.17299,204.77386,4477.757,"e have been many crashes on Central Park West, many crashes with injuries,” said"
19,62912.0,47926.938,250.82265,218.92221,236.90668,6635.5513,"e have been many crashes on Central Park West, many crashes with injuries,” said"
20,85325.25,63200.39,292.10486,251.39688,278.2971,8605.512,"e have been many crashes on Central Park West, many crashes with injuries,” said"
21,118092.54,85626.98,343.64594,292.62088,315.3619,16083.894,"e have been many crashes on Central Park West, many crashes with injuries,” said"
22,152573.75,110728.03,390.6069,332.7582,357.01416,28993.547,"e have been many crashes on Central Park West, many crashes with injuries,” said"
23,227480.6,143783.1,476.94925,379.1874,428.97754,44232.38,"e have been many crashes on Central Park West, many crashes with injuries,” said"
24,293835.25,165373.19,542.06573,406.661,462.21442,69948.81,"e have been many crashes on Central Park West, many crashes with injuries,” said"
25,425703.84,228109.33,652.45984,477.6079,562.51135,90728.016,"e have been many crashes on Central Park West, many crashes with injuries,” said"
1,3751.8289,2702.522,61.252174,51.985786,61.015335,20.883945,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
2,4172.0664,4528.933,64.59154,67.29735,63.796432,74.49208,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
3,2812.275,3259.1118,53.030888,57.08863,51.761917,146.07956,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
4,3376.5684,3514.276,58.108246,59.28133,56.76148,153.09863,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
5,3945.176,3562.3013,62.810635,59.685017,61.650833,136.09772,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
6,4464.0986,4041.1387,66.81391,63.56995,65.98772,195.06113,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
7,5676.5273,4313.3115,75.342735,65.675804,74.72683,186.57646,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
8,8041.688,5796.3555,89.67546,76.1338,86.053505,671.06885,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
9,9540.926,6270.6484,97.677666,79.18742,92.95731,845.5976,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
10,11747.802,7749.39,108.387276,88.03062,104.80754,909.8443,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
11,13846.5,8867.104,117.67115,94.1653,113.24664,1057.2007,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
12,14324.135,10931.287,119.68348,104.552795,114.21241,2082.8994,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
13,17071.508,11886.234,130.65797,109.02401,121.26728,1963.4918,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
14,28678.746,17683.84,169.348,132.9806,159.69148,2975.8284,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
15,43535.305,22874.25,208.65115,151.24236,201.4508,3548.0864,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
16,44197.434,27940.09,210.23186,167.1529,198.1339,4657.654,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
17,72033.24,39565.29,268.3901,198.91025,249.43248,7268.319,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
18,74145.445,39965.34,272.2966,199.91333,255.22026,7287.4795,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
19,105088.42,54421.76,324.17343,233.28473,312.4368,8348.168,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
20,106429.22,58781.395,326.23492,242.44875,306.39154,10281.182,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
21,117601.79,77889.55,342.93118,279.08698,325.26083,11082.967,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
22,198835.16,110445.75,445.90936,332.3338,430.5862,14831.775,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
23,264231.3,145126.53,514.03436,380.95477,495.08508,20072.06,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
24,311949.9,187966.94,558.5248,433.55154,536.2022,24390.402,"eir life-cycles right now, like they should be ships passing in the pop night.<br><br>"
